rule_id,rule_type,rule_priority,source_id,legal_basis,effective_date,site_scope,site_code,project_or_activity_scope,activity_code,spatial_condition,functional_interference_condition,required_conditions,correspondence_check_required,source_outcome,intermediate_classification,model_action,limitations,evidence_reference,measure_refs,source_page
DGR30_A2_IT3320003_1_12,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"1.12. Installazione di impianti solari termici o fotovoltaici sui tetti degli edifici o nelle pertinenze edilizie degli edifici stessi purché non venga interessato habitat Natura 2000; installazione di singoli generatori eolici con altezza complessiva non superiore a 1,5 metri dall'altezza massima dell'edificio e diametro non superiore a 1 metro. Installazione di altri impianti tecnologici a servizio dell'edificio. Verificare la misura di conservazione REPD05,0 se vigente nel sito Natura 2000 interessato dall'intervento -> https://habitat.regione.fvg.it/mdc/home .",1.12,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 217; activity 1.12; site evidence: Interventi che non determinano un incremento della cubatura e che agiscono su edifici esistenti senza effetti sull'ambiente esterno,REPD05.0,217
DGR30_A2_IT3320003_1_13,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,1.13. Demolizione di infrastrutture tecnologiche esistenti fuori terra con eventuale interramento lungo tracciati viari esistenti salvo piccoli elementi complementari fuori terra. Rimozione di infrastrutture tecnologiche interrate purché non interessino habitat Natura 2000.,1.13,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 217; activity 1.13; site evidence: Intervento con effetti positivi in quanto elimina infrastutture nell'ambiente naturale,,217
DGR30_A2_IT3320003_1_14,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"1.14. Installazione di serbatoi interrati di GPL, fino alla capacità di 13 metri cubi, nonché la realizzazione di impianti tecnologici e di climatizzazione pertinenziali a edifici o unità immobiliari purché non venga interessato habitat Natura 2000.",1.14,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 217; activity 1.14; site evidence: L'intervento interessa superfici minime dell'area di pertinenza di un edificio esistente senza effetti sull'ambiente esterno,,217
DGR30_A2_IT3320003_1_15,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"1.15. Installazione di strutture connesse ad attività di esercizio pubblico, intendendo per esse ogni struttura prefabbricata, costituita da una intelaiatura ancorata al suolo ed eventualmente a parete, attraverso l'utilizzo di sistemi facilmente rimovibili, priva di chiusure laterali e coperture fisse, a condizione che comunque non superi il limite del 20 per cento della volumetria o superficie utile dell'edificio esistente e purché non venga interessato habitat Natura 2000.",1.15,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 218; activity 1.15; site evidence: L'intervento interessa superfici minime dell'area di pertinenza di un edificio esistente senza effetti sull'ambiente esterno,,218
DGR30_A2_IT3320003_1_16,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"1.16. Collocamento, modifica o rimozione di lapidi, stemmi, insegne, targhe, decorazioni, cartelli o affissi pubblicitari, segnali indicatori e simili lungo la viabilità pubblica o aperta al pubblico e le relative fasce di rispetto, purché privi di impianti di illuminazione; limitati movimenti terra funzionali alla posa dei precedenti elementi.",1.16,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 218; activity 1.16; site evidence: Intervento privo di effetti nei limiti indicati,,218
DGR30_A2_IT3320003_1_17,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"1.17. Realizzazione e manutenzione di recinzioni, muri di cinta e cancellate a chiusura di fondi relativi alle pertinenze edilizie di edifici esistenti.",1.17,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 218; activity 1.17; site evidence: Interventi che non determinano un incremento della cubatura e che agiscono su edifici esistenti senza effetti sull'ambiente esterno,,218
DGR30_A2_IT3320003_1_18,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"1.18. Opere di scavo e reinterro dirette all'esecuzione di interventi di manutenzione e sostituzione di condotte sotterranee lungo la viabilità esistente, nonché tutte le opere per il raccordo degli utenti alle reti dei servizi esistenti di gas, energia elettrica, telecomunicazioni, acquedotto e fognatura, ivi comprese le relative opere di scavo, posa delle condutture e reinterro purché realizzati lungo viabilità esistente nel rispetto delle indicazioni per il contenimento delle specie esotiche invasive (IAS).",1.18,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 218; activity 1.18; site evidence: Intervento privo di effetti nei limiti indicati in quanto interessa aree già infrastrutturate,,218
DGR30_A2_IT3320003_1_19,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"1.19. Interventi di manutenzione delle infrastrutture viarie o ferroviarie, delle reti infrastrutturali di tipo lineare (acquedotti, fognature, ecc.), delle infrastrutture lineari energetiche (linee elettriche, gasdotti, oleodotti, ecc.), degli impianti di telefonia fissa e mobile, nonché degli impianti per l’emittenza radiotelevisiva, a condizione che non comportino modifiche di tracciato o d'ubicazione. I relativi interventi di controllo della vegetazione se eseguiti nel periodo 15 agosto - 28 febbraio.",1.19,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 219; activity 1.19; site evidence: Intervento privo di effetti nei limiti indicati in quanto interessa aree già infrastrutturate,,219
DGR30_A2_IT3320003_3_20,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"3.20. Manutenzione, asportazione, sostituzione in sede di condutture sotterranee o canali superficiali per l’irrigazione purché i lavori non interessino habitat Natura 2000. Per i canali superficiali con flusso permanente d’acqua l’intervento deve avere uno sviluppo inferiore a 10 metri. Verificare la misura di conservazione REPJ04.0, se vigente nel sito Natura 2000 interessato dall'intervento -> https://habitat.regione.fvg.it/mdc/home .",3.20,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,NO,NOT_APPLICABLE,,MANUAL_REVIEW_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 219; activity 3.20; site evidence: Solo per regione biogeografica continentale,REPJ04.0,219
DGR30_A2_IT3320003_1_21,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,1.21. Varianti a progetti già sottoposti a VINCA il cui contenuto rientra tra le presenti prevalutazioni o che: a) non incidono sui parametri urbanistici e sulle volumetrie; b) non modificano la destinazione d'uso e la categoria d'intervento edilizio; c) non alterano la sagoma dell'edificio né il tracciato di progetto; d) non violano le eventuali condizioni poste in sede di VINCA.,1.21,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 219; activity 1.21; site evidence: Intervento privo di effetti nei limiti indicati che non determina effetti sull'ambiente esterno,,219
DGR30_A2_IT3320003_2_01,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"2.01 Per formazioni forestali classificate come habitat Natura 2000 o come habitat di rilevanza faunistica in base alle misure di conservazione (MdC) del sito Natura 2000, in assenza di pianificazione forestale approvata ed esecutiva, gli interventi relativi a:",2.01,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 220; activity 2.01; site evidence: Attività ordinaria che non determina una incidenza significativa nei limiti e nei periodi indicati. La gestione forestale storica è garanzia del suo stato di conservazione. Buona parte del sito è interessata da piani di gestione forestale.,REPN21.0;REPN22.0,220
DGR30_A2_IT3320003_2_02,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"2.02 Per formazioni forestali classificate come habitat Natura 2000 o come habitat di rilevanza faunistica in base alle misure di conservazione del sito Natura 2000, in presenza di pianificazione forestale approvata ed esecutiva, gli interventi relativi a:",2.02,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 221; activity 2.02; site evidence: Attività ordinaria che non determina una incidenza significativa nei limiti e nei periodi indicati. La gestione forestale storica è garanzia del suo stato di conservazione. Buona parte del sito è interessata da piani di gestione forestale.,REPN21.0;REPN22.0,221
DGR30_A2_IT3320003_2_03_a,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"2.03.a. Per formazioni forestali non classificate come habitat Natura 2000 o come habitat di rilevanza faunistica in base alle misure di conservazione del sito Natura 2000, gli interventi eseguiti nel periodo 15 agosto - 28 febbraio nei siti dell'area biogeografica continentale, relativi a: a) le dichiarazioni di taglio; b) i progetti di riqualificazione forestale e ambientale (PRFA) quando conformi alla massa prevista dallo strumento di pianificazione; c) il taglio di piante secche, schiantate, divelte o stroncate, compromesse nella loro vitalità da incendi o altre avversità biotiche o abiotiche, sfolli, ripuliture e prelievo di materiale intercalare scarsamente vitale nel rispetto dei parametri sul mantenimento di una quota di alberi in piedi o legno morto salvo diverse esigenze di ordine fitosanitario da comunicare al Servizio biodiversità; d) gli interventi aventi dimensione inferiore a quelli dei punti precedenti. La presente prevalutazione si applica nel rispetto delle misure di conservazione che disciplinano le modalità di intervento rispetto a specifici habitat forestali. Verificare le misure di conservazione REPB18.0 REPB23, REPB24, REPN22.0 se vigenti nel sito Natura 2000",2.03.a,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,NO,NOT_APPLICABLE,,MANUAL_REVIEW_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 222; activity 2.03.a; site evidence: Intervento prevalutato solo per l'area biogeografica continentale.,REPB18.0;REPB23;REPB24;REPN22.0,222
DGR30_A2_IT3320003_2_03_b,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"2.03.b. Per formazioni forestali non classificate come habitat Natura 2000 o come habitat di rilevanza faunistica in base alle misure di conservazione del sito Natura 2000, gli interventi nei siti dell'area biogeografica alpina, relativi a: a) le dichiarazioni di taglio per interventi eseguiti nel periodo 15 agosto - 28 febbraio; b) le dichiarazioni di taglio per interventi eseguiti nel periodo 1 marzo - 14 agosto, che hanno ottenuto le prescrizioni dell'ispettorato forestale (artt. 12 comma 4 del Regolamento forestale - DPReg. 274/2012); c) i progetti di riqualificazione forestale e ambientale (PRFA) quando conformi alla massa prevista dallo strumento di pianificazione; d) il taglio di piante secche, schiantate, divelte o stroncate, compromesse nella loro vitalità da incendi o altre avversità biotiche o abiotiche, sfolli, ripuliture e prelievo di materiale intercalare scarsamente vitale nel rispetto dei parametri sul mantenimento di una quota di alberi in piedi o legno morto salvo diverse esigenze di ordine fitosanitario da comunicare al Servizio biodiversità; e) gli interventi aventi dimensione inferiore a quelli dei punti precedenti. La presente prevalutazione si applica nel ris",2.03.b,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 222; activity 2.03.b; site evidence: Attività ordinaria che non determina una incidenza significativa nei limiti e nei periodi indicati. La gestione forestale storica è garanzia del suo stato di conservazione. Buona parte del sito è interessata da piani di gestione forestale.,REPB18.0;REPB23;REPB24;REPN22.0,222
DGR30_A2_IT3320003_2_04,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"2.04. Taglio e asporto legname in area demaniale regionale in base all'art. 33 della LR 11/2015: - comma 2) punto a); - comma 2) punto b) qualora non interessi habitat Natura 2000 o aree di rilevanza faunistica. La rimozione, in area demaniale regionale, del legno morto e in generale la pulizia della vegetazione compromessa nelle aree percorse dal fuoco o danneggiate da tempeste o mareggiate. La presente prevalutazione si applica nel rispetto delle misure di conservazione che disciplinano le modalità di intervento rispetto a specifici habitat forestali. Verificare le misure di conservazione REPB (22, 03.0, 216, 17, 24), REPN22.0 se vigenti nel sito Natura 2000 interessato dall'intervento -> https://habitat.regione.fvg.it/mdc/home .",2.04,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 223; activity 2.04; site evidence: Attività ordinaria che non determina una incidenza significativa nei limiti indicati. Gli habitat Natura 2000 ricoprono buona parte del sito con ampia presenza di superfici forestali. Le aree fluviali demaniali sono molto limitate e quindi questa tipologia di intervento non è particolarmente significativa per questo sito.,REPN22.0,223
DGR30_A2_IT3320003_2_05,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"2.05. Per formazioni boscate lineari o siepi, classificate come habitat Natura 2000 (es. habitat 91E0* Foreste alluvionali residue di Alnus glutinosa e Fraxinus excelsior), il taglio o la ceduazione di metà dei soggetti con rilasci omogeneamente distribuiti al fine di limitare la scopertura di ampi tratti. Non rientrano nella prevalutazione gli interventi che portano all'eliminazione o devitalizzazione della pianta o di un gruppo o filare di piante. Interventi eseguiti nel periodo dal 15 settembre al 28 febbraio. Verificare le misure di conservazione REPB (tutti i numeri), REPN22.0 se vigenti nel sito Natura 2000 interessato dall'intervento -> https://habitat.regione.fvg.it/mdc/home .",2.05,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,NO,NOT_APPLICABLE,,MANUAL_REVIEW_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 223; activity 2.05; site evidence: Solo per regione biogeografica continentale,REPN22.0,223
DGR30_A2_IT3320003_2_06,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"2.06. Per formazioni lineari o siepi non classificate come habitat Natura 2000, il taglio di metà dei soggetti con rilasci omogeneamente distribuiti al fine di limitare la scopertura di ampi tratti. Interventi eseguiti nel periodo dal 15 settembre al 28 febbraio. Verificare le misure di conservazione REPB (tutti i numeri), REPN22.0 se vigenti nel sito Natura 2000 interessato dall'intervento -> https://habitat.regione.fvg.it/mdc/home .",2.06,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,NO,NOT_APPLICABLE,,MANUAL_REVIEW_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 223; activity 2.06; site evidence: Solo per regione biogeografica continentale,REPN22.0,223
DGR30_A2_IT3320003_2_07,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"2.07. Miglioramento e ripristino dei prati o dei prati-pascoli mediante il taglio delle piante arboree ed arbustive di crescita spontanea costituenti una formazione vegetale non ancora classificabile bosco, effettuato nel periodo 1 luglio - 28 febbraio, e la risemina delle aree lavorate o manomesse con l’utilizzo esclusivo di fiorume di specie di origine autoctona o sementi di specie erbacee selvatiche di origine autoctona. Verificare le misure di conservazione REPN10.0, REPN21.0, REPN23.0 se vigenti nel sito Natura 2000 interessato dall'intervento -> https://habitat.regione.fvg.it/mdc/home .",2.07,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 224; activity 2.07; site evidence: Attività possibile nelle aree a pascolo interne al sito. Attività connessa e necessaria alla conservazione degli habitat di prato/pascolo,REPN10.0;REPN21.0;REPN23.0,224
DGR30_A2_IT3320003_2_08,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,"2.08. Realizzazione per fini zootecnici di recinzioni elettrificate temporanee (stabbie o aie) con pastore elettrico, di altezza fino a 150 cm, o di recinzioni in legno o rete, di altezza fino a 120 cm, non interrate e con maglie di dimensioni pari o superiori a 15 cm, oppure sollevate da terra per almeno 15 cm; l’area recintata è prevalutata fino ad una estensione di 2 ettari nell'area biogeografica contenentale (pianura e Carso) e senza limiti dimensionali nell'area biogeografica alpina (montagna). Verificare le misure di conservazione REPA (05.0, 04.0, 17.0, 41.0, 42.0, 47.0) se vigenti nel sito Natura 2000 interessato dall'intervento -> https://habitat.regione.fvg.it/mdc/home .",2.08,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.","DGR30/2026 Allegato A2; site IT3320003; PDF page 224; activity 2.08; site evidence: Attività di normale gestione ordinaria del pascolo, connessa e necessaria alla conservazione degli habitat di prato/pascolo",,224
DGR30_A2_IT3320003_2_09,SITE_ACTIVITY_PREASSESSMENT,200,DGR30_2026_A2,DGR 30/2026 Allegato A; DGR 1183/2022 Allegato A punto 4,2026-01-28,IT3320003,IT3320003,2.09. Realizzazione e ripristino di muretti in pietra locale di altezza inferiore a 150 cm realizzati senza l’utilizzo di leganti,2.09,"Inside site, contiguous area, or applicable external functional-interference area; preassessment also valid in functional-interference areas","If external, determine scope from DGR30/2026 Allegato C or site-specific plan/measure override before use",Exact correspondence with the preassessed P/I/A definition; comply with current conservation measures and any site-specific conditions; no automatic inference from generic similarity,YES,PREASSESSED_NO_SIGNIFICANT_INCIDENCE,POTENTIALLY_COVERED_BY_PREASSESSMENT,CORRESPONDENCE_CHECK_REQUIRED,"This is a procedural pre-screen rule, not a formal VINCA outcome. NOT_APPLICABLE never becomes automatic site exclusion.",DGR30/2026 Allegato A2; site IT3320003; PDF page 224; activity 2.09; site evidence: Attività possibile in questo sito lungo i sentieri e per delimitare le proprietà. Attività connessa e necessaria alla conservazione di microhabitat per i rettili,,224
