istat_code,comune,sigla_provincia,eagle_probe_status,eagle_config,eagle_project,eagle_plan_codes,eagle_ambiti,source_candidate,source_format_access,access_status,cer_D_count,cer_D_latest_data_val,cer_D_variants,cer_H_count,cer_H_latest_data_val,cer_H_variants,current_prgc_date_or_variant,current_prgc_source,current_prgc_validation_status,sample_comparison_result,quality_note
030071,Paluzza,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPaluzza,Guest_PRGPaluzza,G300,AMB_142,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,14,20080103,2,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030072,Pasian di Prato,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,41,20180412,56,1,20180412,56,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030073,Paularo,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPaularo,Guest_PRGPaularo,G381,AMB_145,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,9,20090402,3,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030074,Pavia di Udine,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPaviaDiUdine,Guest_PRGPaviaDiUdine,E899,AMB_135,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,136,20170713,48,15,20170713,48,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030075,Pocenia,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPocenia,Guest_PRGPocenia,G743,AMB_092,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,16,20160901,31,3,20160901,31,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030076,Pontebba,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPontebba,Guest_PRGPontebba,G831,AMB_094,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,7,20171012,68,5,20171012,68,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030077,Porpetto,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,11,20131010,7,3,20131010,7,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030078,Povoletto,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,35,20160929,29,2,20160929,29,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030079,Pozzuolo del Friuli,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,39,20161103,49,12,20161103,49,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030080,Pradamano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPradamano,Guest_PRGPradamano,G969,AMB_100,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,7,20140821,26,30,20140821,26,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030081,Prato Carnico,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPratoCarnico,Guest_PRGPratoCarnico,H002,AMB_102,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,11,20171012,28,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030082,Precenicco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPrecenicco,Guest_PRGPrecenicco,H014,AMB_104,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,6,20180104,18,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030083,Premariacco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPremariacco,Guest_PRGPremariacco,H029,AMB_120,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,20,20160317,12,2,20160317,12,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030084,Preone,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030085,Prepotto,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPrepotto,Guest_PRGPrepotto,H040,AMB_122,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,1,20080214,5,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030086,Pulfero,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGPulfero,Guest_PRGPulfero,H089,AMB_123,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,1,20170316,9,1,20170316,9,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030087,Ragogna,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGRagogna,Guest_PRGRagogna,H161,AMB_124,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,17,20160818,12,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030088,Ravascletto,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGRavascletto,Guest_PRGRavascletto,H196,AMB_125,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,7,20050721,23,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030089,Raveo,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGRaveo,Guest_PRGRaveo,H200,AMB_126,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,2,20070901,2,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030090,Reana del Rojale,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGReanaDelRojale,Guest_PRGReanaDelRojale,H206,AMB_127,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,39,20161103,33,30,20161103,33,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030091,Remanzacco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGRemanzacco,Guest_PRGRemanzacco,H229,AMB_128,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,36,20170720,34,4,20170720,34,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030092,Resia,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGResia,Guest_PRGResia,H242,AMB_129,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,9,20170824,13,3,20170824,13,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030093,Resiutta,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGResiutta,Guest_PRGResiutta,H244,AMB_130,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,3,20160114,13,7,20160114,13,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030094,Rigolato,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGRigolato,Guest_PRGRigolato,H289,AMB_131,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,5,20160407,20,1,20160407,20,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030095,Rive d'Arcano,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,12,20170406,20,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030097,Ronchis,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,28,20141225,34,8,20141225,34,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030098,Ruda,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGRuda,Guest_PRGRuda,H629,AMB_192,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,8,20170817,27,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030099,San Daniele del Friuli,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,51,20170831,88,12,20170831,88,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030100,San Giorgio di Nogaro,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,23,20170803,44,9,20170803,44,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030101,San Giovanni al Natisone,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,49,20150924,36,31,20150924,36,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030102,San Leonardo,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGSanLeonardo,Guest_PRGSanLeonardo,H951,AMB_176,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,9,20110428,11,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030103,San Pietro al Natisone,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGSanPietroAlNatisone,Guest_PRGSanPietroAlNatisone,I092,AMB_152,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,10,20171221,17,1,20171221,17,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030104,Santa Maria la Longa,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,22,20151224,17,9,20151224,17,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030105,San Vito al Torre,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,14,20130926,15,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030106,San Vito di Fagagna,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGSanVitoDiFagagna,Guest_PRGSanVitoDiFagagna,I405,AMB_197,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,13,20100812,9,1,20100812,9,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030107,Sauris,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGSauris,Guest_PRGSauris,I464,AMB_198,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,9,20170406,27,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030108,Savogna,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGSavogna,Guest_PRGSavogna,I478,AMB_199,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030109,Sedegliano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGSedegliano,Guest_PRGSedegliano,I562,AMB_201,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,14,20160414,22,5,20160414,22,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030110,Socchieve,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGSocchieve,Guest_PRGSocchieve,I777,AMB_205,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,2,20160317,13,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030111,Stregna,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGStregna,Guest_PRGStregna,I974,AMB_208,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030112,Sutrio,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGSutrio,Guest_PRGSutrio,L018,AMB_209,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,9,20121206,22,1,20121206,22,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030113,Taipana,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,1,,16,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030114,Talmassons,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGTalmassons,Guest_PRGTalmassons,L039,AMB_210,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,39,20150917,28,10,20150917,28,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030116,Tarcento,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGTarcento,Guest_PRGTarcento,L050,AMB_212,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,53,20170817,39,3,20170817,39,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030117,Tarvisio,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGTarvisio,Guest_PRGTarvisio,L057,AMB_213,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,12,20170706,73,1,20170706,73,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030118,Tavagnacco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGTavagnacco,Guest_PRGTavagnacco,L065,AMB_214,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,66,20150129,9,35,20150129,9,Variante 22 approvata DCC 3 del 30/01/2024; pubblicazione online EagleFVG 19/11/2025,https://www.comune.tavagnacco.ud.it/Novita/Notizie/Pubblicata-online-la-Variante-n.-22-al-PRGC,APPROVED_CURRENT_SOURCE_VERIFIED,TEMPORAL_MISMATCH,CER D/H antecedenti alla variante corrente documentata
030120,Terzo d'Aquileia,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,8,20110324,5,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030121,Tolmezzo,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,17,20170316,108,5,20170316,108,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030122,Torreano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGTorreano,Guest_PRGTorreano,L246,AMB_157,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,10,20140420,11,8,20140420,11,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030123,Torviscosa,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,19,20160602,11,1,20160602,11,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030124,Trasaghis,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGTrasaghis,Guest_PRGTrasaghis,L335,AMB_161,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,15,20151022,20,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030126,Treppo Grande,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,16,20170824,16,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030127,Tricesimo,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,11,20160407,73,31,20160407,73,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030128,Trivignano Udinese,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,9,20180201,18,4,20180201,18,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030129,Udine,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGUdine,Guest_PRGUdine,L483,AMB_169,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,51,20171109,15,65,20171109,15,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030130,Varmo,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGVarmo,Guest_PRGVarmo,L686,AMB_217,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,7,20150709,15,2,20150709,15,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030131,Venzone,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGVenzone,Guest_PRGVenzone,L743,AMB_218,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,11,20170713,33,5,20170713,33,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030132,Verzegnis,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,10,20090402,13,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030133,Villa Santina,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGVillaSantina,Guest_PRGVillaSantina,L909,AMB_179,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,9,20150910,27,4,20150910,27,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030135,Visco,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGVisco,Guest_PRGVisco,M073,AMB_182,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,10,20180104,17,2,20180104,17,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030136,Zuglio,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGZuglio,Guest_PRGZuglio,M200,AMB_186,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,6,,Marzo 2011,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030137,Forgaria nel Friuli,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGForgariaNelFriuli,Guest_PRGForgariaNelFriuli,D700,AMB_056,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,23,20171116,16,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030138,Campolongo Tapogliano,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGCampolongoTapogliano,Guest_PRGCampolongoTapogliano,M311,AMB_220,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,8,20160811,2,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030188,Rivignano Teor,UD,NOT_DETECTED_BY_STANDARD_PROBE,,,,,Official municipal/Regional source to locate,TO_VERIFY,STANDARD_CONFIG_NOT_DETECTED_NOT_A_NEGATIVE_PROOF,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030189,Sappada,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGSappada,Guest_PRGSappada,I421,AMB_231,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030190,Fiumicello Villa Vicentina,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGFiumicelloVillaVicentina,Guest_PRGFiumicelloVillaVicentina,M400,AMB_232,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
030191,Treppo Ligosullo,UD,PUBLIC_CONFIG_DETECTED,Guest_PRGTreppoLigosullo,Guest_PRGTreppoLigosullo,M399,AMB_230,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,0,,,0,,,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
031001,Capriva del Friuli,GO,PUBLIC_CONFIG_DETECTED,Guest_PRGCaprivaDelFriuli,Guest_PRGCaprivaDelFriuli,B712,AMB_004,EagleFVG PRG public configuration,Public WebGIS configuration; vector services behind application,PUBLIC_CONFIG_DETECTED,10,20130704,2,6,20130704,2,,,TO_VERIFY_MUNICIPAL_CURRENTNESS,,"Eagle probe proves public configuration only; CER dates/variants are source attributes, not proof of 2026 currentness."
